time_s,bandwidth_Mbps
0.000,2.230346
1.001,3.579652
2.002,3.541375
3.020,3.722159
4.028,4.733828
5.030,4.697325
6.099,4.705758
7.100,5.106605
8.101,4.375049
9.102,5.033750
10.103,3.675165
11.109,4.629227
12.110,4.651093
13.111,4.519694
14.130,4.793223
15.131,4.176016
16.150,4.651069
17.151,5.000975
18.152,3.908279
19.154,4.019876
20.157,5.072415
21.159,4.491636
22.160,5.263345
23.161,4.371373
24.162,5.514805
25.163,4.458837
26.164,5.361962
27.167,3.740714
28.170,5.541375
29.182,4.934962
30.184,5.471073
31.185,5.045036
32.189,4.685490
33.228,5.066549
34.229,5.011417
35.231,5.197746
36.232,4.502569
37.233,4.476164
38.234,4.794576
39.237,5.131561
40.239,5.158553
41.240,5.345469
42.242,4.385023
43.243,4.538250
44.249,4.946286
45.250,3.966849
46.251,4.624607
47.253,4.795674
48.259,5.252412
49.260,5.426459
50.262,5.438274
51.263,4.480703
52.264,4.618294
53.265,3.913871
54.270,4.217403
55.279,4.771357
56.280,4.304887
57.299,4.913487
58.300,4.928959
59.301,5.197746
60.302,4.403029
61.348,5.164947
62.349,3.011133
63.350,5.071089
64.351,5.077483
65.352,4.473831
66.379,5.110282
67.380,4.377766
68.381,4.786829
69.382,5.020508
70.390,3.451485
71.439,3.630853
72.450,5.465663
73.460,4.661908
74.462,5.055616
75.463,3.847111
76.498,4.858821
77.499,4.972691
78.500,4.421499
79.501,4.421499
80.502,4.508346
81.509,5.154014
82.510,4.093306
83.579,5.438274
84.580,4.524436
85.581,3.459389
86.582,4.530060
87.588,4.570085
88.670,5.252412
89.671,5.016424
90.672,5.041368
91.678,4.535369
92.679,5.053909
93.689,4.744174
94.699,5.066549
95.700,4.546302
96.701,4.655960
97.708,4.815549
98.718,3.495969
99.738,3.538448
100.862,5.459886
101.918,5.208679
102.919,4.235636
103.920,4.790912
104.927,4.891620
105.928,4.786829
106.929,4.727624
107.930,3.876187
108.977,4.869754
109.978,4.530829
110.979,4.218310
111.980,4.864894
112.982,4.743097
113.983,4.501906
114.988,4.657602
115.997,3.667984
116.999,5.842058
118.002,4.590034
119.003,4.766595
120.005,4.388854
121.007,4.769691
122.029,5.035873
123.037,4.913487
124.038,4.683798
125.047,5.569471
126.048,4.808695
127.049,5.498379
128.051,4.989573
129.053,4.558405
130.217,3.961248
131.268,5.518056
132.297,5.116104
133.299,4.716519
134.301,4.816399
135.304,4.953534
136.305,4.479912
137.307,4.432432
138.308,4.624982
139.318,5.001594
140.332,4.213888
141.347,3.328344
142.348,4.223746
143.357,5.471073
144.358,5.071089
145.359,4.444913
146.437,5.238115
147.447,4.494954
148.457,5.460140
149.458,4.764963
150.459,5.044683
151.460,4.485538
152.477,5.032238
153.487,4.863366
154.497,4.782290
155.498,4.527492
156.537,5.285211
157.538,4.455937
158.546,4.546302
159.547,5.181637
160.549,4.660497
161.556,4.979085
162.557,4.294841
163.558,5.178228
164.567,4.436971
165.568,4.312168
166.569,4.202837
167.570,3.868259
168.605,5.265409
169.616,4.655632
170.617,4.516599
171.626,4.598812
172.636,3.770054
173.637,5.492939
174.638,4.818722
175.646,5.471073
176.647,4.611900
177.648,5.411002
178.650,4.814818
179.652,5.103326
180.696,5.183937
181.706,4.622833
182.707,4.935353
183.708,4.639236
184.755,5.580404
185.756,5.060156
186.757,5.197746
187.758,4.612444
188.766,5.077483
189.767,4.262042
190.768,4.355900
191.769,4.753887
192.846,5.124684
193.857,4.727183
194.866,4.718004
195.876,4.709364
196.926,5.110282
197.927,4.916444
198.935,5.307077
199.936,4.585453
200.938,4.268436
201.939,4.629227
202.940,3.787389
203.941,4.816127
204.945,4.143691
205.955,4.332886
206.975,4.968152
207.976,4.519896
208.977,4.530842
209.979,4.813168
211.095,3.287850
212.105,3.707146
213.107,5.232436
214.116,4.830585
215.117,4.318786
216.119,4.646451
217.121,4.530842
218.123,5.110274
219.124,4.161644
220.136,5.011884
221.137,3.878316
222.206,4.913487
223.207,4.589004
224.275,5.143081
225.276,4.599387
226.294,4.919123
227.325,4.239767
228.356,4.524436
229.357,4.836955
230.358,4.436971
231.359,4.958245
232.362,4.301235
233.363,4.816553
234.376,4.811615
235.456,5.011884
236.457,4.672959
237.458,4.677499
238.459,5.115271
239.474,3.824719
240.475,4.076665
241.660,5.313829
242.675,4.771357
243.676,4.115615
244.694,3.885778
245.695,5.143081
246.696,4.008110
247.714,5.077491
248.715,4.487561
249.773,2.208480
250.774,4.169363
251.813,4.832411
252.824,4.670854
253.885,5.383608
254.886,4.950825
255.887,5.123305
256.894,4.644016
257.914,5.197746
258.915,4.907093
259.916,4.953307
260.920,4.618220
261.922,5.140523
262.932,4.808767
263.933,5.307077
264.934,4.395302
265.942,5.088416
266.943,4.570804
267.953,5.274278
268.954,4.607873
269.963,5.283325
270.983,4.971723
271.993,4.788439
272.995,4.600967
273.996,5.066549
274.997,4.519920
275.999,5.164947
277.000,3.346707
278.002,4.032448
279.003,4.886536
280.014,4.420114
281.103,5.000951
282.104,3.521217
283.471,3.477780
284.473,5.000951
285.474,4.597027
286.483,3.738290
287.503,5.077483
288.504,4.338573
289.505,4.840739
290.512,4.782290
291.513,4.032448
292.514,4.054222
293.522,4.388699
294.523,4.257127
295.574,5.328943
296.575,4.482159
297.583,3.659734
298.592,5.285211
299.593,4.858507
300.595,5.064858
301.621,5.263345
302.622,4.852428
303.623,5.121215
304.624,4.530081
305.631,5.498379
306.633,3.699916
307.634,4.356096
308.636,5.648819
309.652,5.103888
310.653,5.117653
311.662,5.755333
312.663,4.846494
313.672,5.460140
314.673,4.568168
315.674,4.947655
316.742,5.558513
317.743,4.889903
318.752,5.307077
319.753,4.748876
320.762,5.481919
321.771,5.147620
322.772,5.147620
323.773,5.416848
324.782,4.668325
325.792,5.252412
326.793,3.435365
327.801,3.835652
328.802,4.364749
329.811,3.962310
330.812,4.115373
331.813,3.895873
332.821,4.159105
333.822,4.180971
334.823,3.476872
335.841,4.096317
336.852,4.240176
337.853,4.115373
338.854,4.273432
339.882,4.762039
340.902,5.208679
341.903,4.541764
342.905,5.279936
343.907,4.301050
344.932,5.154014
345.933,4.710298
346.934,4.826022
347.935,3.941017
348.962,5.100925
349.982,4.536722
351.002,5.438274
352.003,4.480703
353.004,4.239615
354.146,2.770757
355.147,5.061360
356.162,3.595125
357.163,5.258092
358.165,4.130004
359.251,5.132148
360.252,4.775896
361.253,5.324508
362.261,4.323858
363.273,5.127026
364.275,4.488611
365.323,5.363690
366.342,4.393247
367.343,5.127026
368.345,4.643372
369.351,5.263345
370.352,4.416249
371.380,5.011884
372.381,4.632824
373.420,5.290858
374.422,4.767241
375.434,5.438475
376.441,4.699365
377.442,4.591840
378.444,4.551817
379.451,5.241479
380.452,4.547302
381.460,4.782290
382.461,4.859877
383.501,5.154014
384.502,4.907093
385.503,5.259365
386.511,5.109717
387.513,5.099349
388.514,4.272975
389.515,4.752366
390.520,4.160971
391.640,5.285211
392.641,4.137239
393.642,4.786829
394.643,4.957211
395.644,3.660425
396.669,4.453539
397.680,4.421499
398.681,5.022339
399.683,4.844303
400.687,4.640064
401.689,4.924420
402.690,4.045227
403.769,5.000951
404.770,4.089537
405.780,3.892957
406.800,5.503872
407.801,4.743097
408.802,5.161651
409.810,4.163179
410.819,5.416408
411.820,5.060156
412.821,4.815089
413.822,5.060156
414.823,4.345129
415.829,4.402205
416.910,4.782290
417.911,4.130222
418.919,4.568168
419.920,5.077483
420.921,5.125754
421.922,5.394541
422.923,3.550982
423.929,2.817898
425.109,3.059570
426.180,5.449207
427.181,4.341016
428.189,4.618294
429.190,4.350136
430.220,3.861988
431.230,4.513502
432.231,5.252412
433.232,4.595289
434.239,4.640160
435.240,4.087113
436.241,4.498030
437.242,4.810833
438.329,4.815089
439.330,4.531937
440.338,3.122065
441.349,3.522466
442.439,3.885778
443.440,4.093590
444.449,3.874845
445.450,3.962310
446.451,4.847585
447.453,5.356391
448.455,4.745998
449.460,4.432432
450.461,3.768198
451.470,3.759121
452.471,3.991098
453.473,3.146320
454.511,4.738557
455.512,3.366044
456.518,3.546853
457.519,3.623827
458.538,3.452995
459.539,4.629227
460.540,4.766065
461.549,3.868452
462.550,3.962310
463.551,3.315937
464.559,4.016975
465.560,4.180971
466.561,3.765587
467.569,5.438274
468.570,4.983624
469.571,5.394541
470.572,3.666916
471.631,5.274278
472.632,4.600967
473.633,5.165559
474.636,4.618220
475.638,5.350809
476.639,4.710298
477.640,5.323625
478.642,4.142950
479.648,5.252412
480.649,5.103888
481.650,5.733467
482.651,5.002069
483.668,4.692935
484.738,4.727624
485.739,4.637032
486.828,3.801473
487.838,4.651093
488.839,4.455342
489.885,5.427341
490.886,4.814794
491.888,4.759480
492.903,4.886397
493.906,5.298227
494.919,4.700897
495.922,5.509153
496.928,4.918026
497.929,5.146184
498.940,2.519297
499.941,4.546302
500.942,4.961443
501.962,4.089694
503.048,4.432432
504.049,5.221613
505.058,3.944983
506.059,5.395156
507.068,4.065247
508.069,4.508963
509.070,4.023888
510.072,4.640072
511.074,4.964207
512.078,4.440776
513.088,5.110282
514.089,4.902172
515.091,5.563936
516.093,4.847585
517.095,4.876888
518.108,4.841495
519.109,4.826022
520.110,4.126191
521.136,4.935353
522.137,3.412248
523.139,5.060156
524.140,4.651093
525.141,4.796272
526.156,4.519896
527.157,5.118222
528.165,4.662105
529.174,5.194772
530.184,4.705597
531.186,4.990018
532.187,4.415105
533.188,5.197746
534.189,4.650986
535.191,5.134004
536.265,5.383608
537.266,4.775896
538.267,5.646002
539.268,4.743097
540.269,5.301780
541.271,5.060156
542.272,5.043427
543.285,5.339876
544.286,4.423034
545.305,5.400650
546.315,4.885227
547.316,5.536671
548.317,4.927302
549.325,5.031872
550.386,5.197746
551.387,4.959873
552.395,5.646010
553.396,5.092955
554.397,5.069565
555.435,5.460140
556.436,4.792974
557.438,5.350809
558.439,4.904461
559.445,5.094259
560.447,4.579873
561.455,4.738557
562.456,4.644699
563.457,5.328943
564.458,4.069858
565.474,5.148870
566.476,4.444929
567.484,2.746148
568.486,5.109717
569.488,5.367313
570.490,4.974679
571.495,4.841695
572.505,5.624136
573.506,4.994557
574.507,5.580404
575.508,4.579101
576.509,5.361742
577.510,5.088637
578.514,5.158553
579.515,5.449207
580.516,4.896152
581.517,5.427341
582.518,4.969734
583.524,4.922980
584.544,5.285211
585.545,5.166764
586.555,5.482006
587.556,4.847585
588.558,5.100092
589.561,4.705597
590.563,5.105432
591.613,4.968152
592.614,4.826022
593.615,3.868452
594.616,4.640160
595.617,4.415511
596.665,4.679218
597.667,2.188965
598.674,4.924420
599.675,4.433228
600.704,5.083337
601.706,4.394152
602.784,5.285211
603.785,4.557235
604.786,5.324508
605.794,4.524436
606.795,5.048071
607.804,4.551914
608.823,4.810283
609.825,4.741681
610.884,5.296144
611.885,4.352617
612.923,5.175880
613.924,4.373397
614.926,4.611900
615.927,4.699456
616.934,4.436971
617.935,5.274278
618.936,4.319302
619.944,5.405475
620.945,4.042964
621.984,5.252412
622.985,4.600975
623.986,5.225325
624.988,4.582655
625.993,4.843236
627.004,4.672959
628.005,4.443465
629.007,4.399632
630.008,4.323973
631.063,4.651093
632.064,4.421499
633.065,4.388854
634.067,5.055616
635.068,4.375602
636.073,3.087777
637.113,3.809247
638.114,5.173101
639.124,4.516626
640.134,5.044683
641.135,4.819628
642.136,5.055616
643.137,4.749285
644.139,5.465625
645.143,4.830561
646.144,4.013687
647.154,4.390080
648.233,4.815089
649.234,4.864559
650.264,4.836955
651.265,4.318786
652.267,3.608182
653.413,4.585495
654.414,5.125754
655.415,4.950454
656.424,4.519939
657.472,4.979085
658.473,4.705181
659.503,4.662026
660.504,4.830413
661.573,5.230545
662.574,4.386255
663.624,4.038841
664.625,5.197746
665.626,4.610736
666.632,4.651093
667.633,5.344408
668.634,5.378236
669.636,4.866987
670.643,4.895878
671.691,4.683892
672.692,4.815089
673.693,3.504528
674.723,5.219540
675.724,4.342813
676.782,4.016461
677.824,5.449125
678.862,5.077483
679.863,4.477217
680.921,4.886739
681.923,4.614216
682.932,4.775896
683.933,5.154014
684.934,3.982730
685.942,5.241479
686.943,4.150463
687.963,4.801057
688.992,4.629566
690.001,5.121215
691.002,4.268436
692.003,4.983624
693.004,5.044683
694.005,4.646349
695.008,5.219612
696.009,4.454387
697.011,4.990018
698.012,4.765846
699.022,4.881551
700.043,4.601595
701.051,4.782290
702.052,4.422160
703.091,5.124684
704.102,3.928204
705.202,5.558513
706.203,3.850477
707.311,3.137230
708.352,5.307077
709.353,4.978651
710.355,4.733228
711.371,4.913118
712.373,5.460140
713.374,4.874294
714.375,5.077483
715.376,4.600967
716.377,4.012966
717.379,4.771357
718.380,4.148567
719.382,5.110282
720.383,4.618720
721.392,5.274278
722.393,4.412638
