time_s,bandwidth_Mbps
0.000,1.825418
1.010,2.649998
2.015,0.975761
3.020,1.760016
4.031,1.382814
5.151,2.718515
6.153,2.191294
7.161,2.549642
8.162,2.354286
9.163,3.192071
10.171,2.430261
11.266,2.440304
12.267,1.617110
13.276,2.332579
14.277,1.850783
15.286,1.311113
16.296,1.323770
17.306,1.351604
18.316,1.287469
19.446,1.570812
20.470,1.492660
21.476,1.353885
22.486,1.159873
23.496,1.434408
24.526,0.526046
25.656,1.614511
26.666,1.058776
27.686,1.051482
28.706,0.877442
29.716,2.022617
30.717,1.272381
31.726,1.793375
32.727,2.134857
33.728,1.603294
34.736,1.902354
35.737,1.391239
36.746,1.723137
37.766,1.820044
38.767,1.924178
39.776,1.399152
40.786,1.418931
41.796,1.953962
42.807,1.763604
43.877,2.415201
44.878,1.549325
45.886,2.084242
46.895,2.196268
47.896,2.537633
49.096,2.705162
50.136,2.995660
51.137,2.275473
52.146,2.274989
53.147,1.764781
54.156,2.055417
55.157,1.547592
56.166,1.875888
57.168,1.550553
58.169,1.427453
59.258,1.443165
60.259,0.975525
61.758,0.070888
63.607,4.211802
64.617,1.533568
65.627,1.450867
66.637,2.008119
67.647,1.662995
68.817,1.667935
69.917,1.902354
70.918,1.582113
71.927,1.543608
72.928,1.459200
73.948,1.321036
74.967,1.504782
75.980,1.575325
76.987,1.935153
77.988,1.285717
79.106,1.659497
80.115,1.122651
81.165,1.902354
82.166,1.755528
83.175,2.017427
84.184,1.472184
85.185,1.863731
86.195,1.644448
87.204,1.946086
88.205,1.596349
89.215,2.037101
90.225,1.674907
91.235,1.553023
92.236,2.006581
93.245,1.571824
94.247,2.253814
95.257,1.668699
96.258,1.664381
97.267,2.164985
98.278,1.924202
99.287,2.208480
100.288,1.642347
101.297,1.597682
102.298,1.769158
103.307,2.221307
104.317,1.793822
105.318,1.766969
106.327,1.810352
107.337,2.067615
108.417,2.138857
109.425,1.707908
110.426,2.136737
111.435,1.982050
112.436,1.921069
113.476,2.472975
114.485,2.127137
115.486,2.014050
116.487,2.012765
117.496,2.180123
118.505,2.027789
119.508,1.485954
120.517,0.713424
121.528,1.020294
122.547,1.331466
123.558,1.486672
124.630,1.355700
125.631,1.535621
126.643,1.315019
127.650,0.868539
128.651,1.829721
129.771,2.171683
130.794,1.506153
131.801,2.247759
132.830,2.055417
133.831,1.287529
134.851,1.628715
135.852,2.394342
136.853,1.475833
137.861,1.831224
138.871,1.233882
139.891,0.858638
140.901,1.208991
141.942,1.376063
142.960,0.715901
143.971,1.620581
145.059,1.378797
146.209,1.685616
147.219,2.235010
148.229,1.887715
149.239,1.374315
150.369,1.756515
151.409,2.186613
152.410,2.007453
153.420,1.646418
154.421,1.997714
155.429,1.548299
156.499,1.950416
157.509,2.062229
158.512,1.686514
159.519,2.063773
160.716,2.525538
161.717,1.936551
162.718,0.817830
164.117,1.203948
165.126,1.105236
166.136,0.660503
167.392,0.274849
168.706,0.798100
172.117,0.953537
173.127,0.958800
174.187,2.015430
175.197,1.059984
176.217,0.680676
177.246,0.406105
178.297,0.426086
179.317,0.595960
180.327,0.493553
181.347,0.433426
182.357,0.191254
183.387,0.193414
184.417,0.111836
185.589,2.197254
186.626,1.903992
187.627,1.775161
188.628,1.039333
189.636,1.385974
190.637,1.106527
191.647,1.211370
192.656,0.993361
193.896,1.096122
194.947,1.172956
195.964,0.731784
196.966,0.653182
197.968,0.777213
199.010,1.758857
200.018,1.984711
201.019,1.924412
202.020,1.637664
203.037,2.020713
204.198,2.242166
205.199,1.848563
206.378,2.307946
207.497,2.265917
208.507,2.984727
209.508,2.701570
210.509,2.668393
211.527,2.197546
212.528,2.132510
213.539,1.903063
214.547,2.394677
215.557,1.572541
216.577,2.261333
217.603,1.815697
218.607,1.657853
219.617,1.753735
220.627,1.721654
221.628,2.197546
222.629,1.859269
223.630,1.628860
224.639,1.856188
225.659,1.235366
226.669,1.300277
227.679,1.126106
228.680,0.644823
229.740,0.504282
230.760,1.256935
231.770,0.854780
232.780,0.751796
233.799,0.609030
234.801,0.419269
235.819,0.926420
237.009,1.834871
238.012,1.584699
239.019,0.783247
240.039,1.009287
241.040,0.771379
242.309,0.896511
243.310,1.180235
244.330,0.677443
245.350,0.045291
248.244,1.231198
249.272,0.280083
250.327,0.186899
251.381,0.000371
310.319,0.486870
311.353,0.255529
312.372,0.097889
313.490,0.807054
314.725,0.946793
316.031,0.943993
317.131,0.953164
318.141,1.009760
319.332,1.109653
320.341,0.784047
321.361,0.839083
322.391,0.643765
323.411,0.603365
324.412,1.404004
325.421,1.470553
326.422,1.857752
327.431,1.176021
328.571,1.653861
329.622,2.400488
330.623,2.101828
331.632,2.094842
332.641,1.715892
333.642,1.819798
334.689,2.150698
335.752,2.700263
336.754,2.356246
337.762,2.811402
338.778,2.177914
339.781,1.156347
340.841,0.156120
343.645,0.292026
344.712,1.558519
345.722,1.955676
346.723,2.166595
347.742,2.543577
348.953,2.211941
350.303,2.935145
351.304,2.927113
352.314,2.988281
353.323,3.133972
354.325,2.590048
355.333,2.467313
356.335,2.132751
357.453,2.135586
358.574,1.999417
359.575,1.964103
360.583,1.780491
361.593,1.930350
362.713,2.394342
363.714,1.903414
364.724,2.201688
365.743,1.538083
366.753,1.632471
367.772,1.319336
368.784,1.626957
369.793,0.845853
370.803,1.029386
371.813,1.006718
372.824,1.264523
373.834,1.662380
374.861,0.404285
375.901,0.222401
377.082,1.212424
378.102,0.737554
379.111,1.219389
380.112,0.900250
381.121,1.005842
382.122,1.486354
383.123,1.453193
384.132,0.528696
385.167,0.531262
386.197,0.439906
387.217,0.064376
388.237,0.488991
389.238,1.249579
390.449,1.917909
391.459,1.466115
392.469,1.885988
393.479,1.652618
394.489,1.579718
395.681,1.847310
396.690,1.881970
397.701,1.424254
398.710,1.728192
399.711,1.645499
400.728,1.181085
401.738,1.205621
402.750,1.184401
403.768,1.532859
404.769,0.811748
405.770,0.578049
406.789,0.658765
407.819,0.581376
408.825,0.572024
409.839,0.773928
410.843,0.648323
411.884,1.235437
412.885,1.486190
413.893,1.263945
414.904,1.553827
415.924,1.272690
416.932,0.859996
418.071,1.114967
419.082,0.827002
420.092,1.380963
421.093,1.427222
422.101,1.511365
423.122,1.481158
424.131,1.271264
425.142,1.314454
426.143,1.506154
427.153,0.983397
428.162,1.330447
429.182,1.354455
430.192,0.744851
431.198,1.441141
432.208,1.545171
433.219,1.104722
434.228,0.942371
435.318,1.344701
436.368,1.199631
437.408,0.408792
438.428,0.178892
439.468,0.134557
440.688,0.052615
441.728,0.009859
443.948,0.017154
447.138,0.046999
450.398,0.119389
451.498,0.067437
452.634,0.171000
453.658,0.109780
454.948,0.349858
455.949,0.461653
456.958,0.443917
458.208,0.672583
459.209,0.764966
460.219,0.716824
461.229,0.772274
462.238,1.114118
463.239,1.283524
464.240,1.300064
465.242,1.156246
466.380,1.905287
467.381,1.563603
468.389,1.521871
469.509,1.869537
470.519,1.963285
471.520,1.738772
472.530,1.673343
473.531,2.272407
474.552,1.549782
475.562,1.494183
476.751,1.223153
477.771,1.260406
478.775,1.199295
479.841,1.814889
480.842,0.672444
481.851,0.234009
483.862,1.808909
484.883,1.561974
485.892,1.357032
487.062,1.480040
488.472,1.946614
489.482,1.902725
490.492,1.893864
491.503,1.769981
492.561,1.626022
493.641,1.518354
494.652,1.497765
495.672,1.847688
496.673,1.534089
497.682,1.672759
498.683,1.052665
499.712,2.058772
500.722,1.444903
501.732,1.814889
502.733,1.528584
503.802,2.102115
504.812,1.226669
505.822,1.842059
506.832,1.319335
507.842,1.705558
508.843,1.171933
509.852,1.679525
510.862,1.340673
511.872,1.304807
512.873,1.333834
513.874,0.995662
514.892,1.069115
515.893,1.183398
517.062,1.275513
518.212,1.760088
519.215,1.709187
520.233,1.417937
521.373,1.581203
522.374,1.861742
523.483,1.847688
524.484,1.555219
525.493,1.542660
526.502,1.404555
527.503,1.695717
528.662,1.634820
529.723,1.559651
530.822,1.419007
531.833,1.354986
532.835,1.611385
533.953,1.963482
534.973,1.353039
535.974,1.207087
536.982,1.727425
537.983,1.429187
538.984,1.791992
539.993,1.782090
540.994,0.778759
542.003,0.531566
543.053,0.574858
544.062,0.822694
545.073,0.637515
546.103,0.152024
547.422,0.044800
549.132,1.844469
550.172,1.415279
551.182,1.948563
552.183,1.341419
553.212,1.708428
554.222,1.359628
555.232,1.204562
556.235,1.602635
557.252,2.314478
558.253,2.489822
559.263,2.053082
560.272,2.249156
561.282,3.131533
562.285,2.665568
563.295,2.572444
564.305,1.729855
565.314,2.776999
566.315,2.379692
567.316,2.596787
568.317,2.946986
569.319,2.700747
570.320,2.739577
571.322,3.420188
572.323,2.228349
573.333,3.013391
574.354,2.201405
575.362,2.297156
576.372,1.408837
577.376,1.755374
578.386,1.576840
579.396,2.175680
580.397,0.951105
581.416,1.962072
582.420,1.925946
583.421,2.591137
584.422,2.317113
585.511,3.441047
586.512,3.267164
587.521,3.708220
588.522,3.211786
589.530,3.057974
590.531,3.958930
591.540,2.606226
592.541,2.469371
593.542,2.049340
594.551,2.145277
595.553,2.131611
596.561,2.055568
597.562,2.319126
598.770,2.733267
599.771,1.220646
600.780,1.028368
601.791,0.769331
602.801,0.606227
603.830,0.355613
605.061,0.645281
606.082,0.236511
607.100,0.283410
608.104,0.581004
609.140,0.429535
610.821,1.076486
611.841,1.265707
612.844,1.082550
613.851,1.430305
614.861,0.936959
615.862,1.021049
616.911,0.877687
617.921,0.765017
618.951,0.108223
620.061,0.246776
621.081,0.114198
622.806,1.739513
623.849,1.731441
624.851,1.300372
625.861,1.767264
626.872,1.382168
627.881,1.437059
628.931,1.996484
629.939,2.000503
630.940,1.816376
631.941,1.743160
632.951,1.834585
633.969,1.766751
634.975,1.592722
635.984,1.763261
636.985,1.681817
638.055,1.803956
639.056,0.877754
640.064,0.375529
641.084,0.379248
642.094,0.117768
643.395,0.012944
645.086,1.224421
646.094,1.115600
647.134,1.072941
648.154,0.778070
649.155,0.945115
650.174,0.735293
651.294,0.587451
652.300,0.500919
653.305,0.607397
654.314,0.697306
655.325,0.590386
656.326,0.391310
657.334,0.354040
658.385,0.235816
659.406,0.305757
660.444,0.343530
661.465,0.530947
662.475,0.306234
663.485,0.368793
664.575,0.402657
665.635,0.185842
666.695,0.127184
667.705,0.005448
683.775,0.358881
684.855,0.569174
685.945,0.568659
686.965,0.826667
687.985,0.601126
688.994,0.812052
689.995,1.033877
691.005,1.089055
692.105,1.644284
693.106,1.334711
694.124,1.390202
695.343,1.103945
696.353,0.953537
697.363,0.375324
698.463,1.396875
699.464,0.834005
700.613,0.673477
701.653,0.097424
702.664,0.054930
703.733,0.325069
704.743,0.396521
705.994,0.562670
707.453,0.934375
708.472,0.268491
709.482,0.813419
710.483,0.715362
711.492,1.005881
712.504,0.829574
713.533,0.486270
714.546,1.023674
715.552,1.072815
716.553,1.320285
717.563,1.198279
718.572,1.375768
719.642,1.980198
720.652,2.656735
721.653,2.190117
722.664,2.054299
723.713,1.336186
724.745,1.734897
725.746,1.921239
726.753,1.986350
727.754,1.933069
728.764,1.903512
729.765,1.845747
730.933,2.741418
731.943,2.305247
732.944,1.976489
733.992,2.613003
734.993,1.879252
735.999,2.280000
